what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1521072690023
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1521072693241
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1521072724524
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521072731232
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1521072740205
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1521072740269
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1521072740949
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1521072741540
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1521073629255
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1521073638747
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1521073663589
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1521073705202
error,log,,,"Unable to get CElement for Macro",1521073705257
error,log,,,"Unable to get CElement for Macro",1521073705258
error,log,,,"Unable to get CElement for Macro",1521073705259
error,log,,,"Unable to get CElement for Macro",1521073705259
error,log,,,"Unable to get CElement for Macro",1521073705260
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521073705302
error,log,,,"Unable to get CElement for Macro",1521073711325
error,log,,,"Unable to get CElement for Macro",1521073711325
error,log,,,"Unable to get CElement for Macro",1521073711326
error,log,,,"Unable to get CElement for Macro",1521073711326
error,log,,,"Unable to get CElement for Macro",1521073711327
error,log,,,"Unable to get CElement for Macro",1521073711327
error,log,,,"Unable to get CElement for Macro",1521073711328
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521073711362
error,log,,,"Unable to get CElement for Macro",1521073724908
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521073724918
error,log,,,"Unable to get CElement for Macro",1521073727783
error,log,,,"Unable to get CElement for Macro",1521073727783
error,log,,,"Unable to get CElement for Macro",1521073727784
error,log,,,"Unable to get CElement for Macro",1521073727784
error,log,,,"Unable to get CElement for Macro",1521073727785
error,log,,,"Unable to get CElement for Macro",1521073727785
error,log,,,"Unable to get CElement for Macro",1521073727786
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521073727797
error,log,,,"Unable to get CElement for Macro",1521073733189
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521073733199
error,log,,,"Unable to get CElement for Macro",1521073741122
error,log,,,"Unable to get CElement for Macro",1521073741124
error,log,,,"Unable to get CElement for Macro",1521073741126
error,log,,,"Unable to get CElement for Macro",1521073741128
error,log,,,"Unable to get CElement for Macro",1521073741129
error,log,,,"Unable to get CElement for Macro",1521073741129
error,log,,,"Unable to get CElement for Macro",1521073741130
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521073741148
error,log,,,"Unable to get CElement for Macro",1521073754699
error,log,,,"Unable to get CElement for Macro",1521073754699
error,log,,,"Unable to get CElement for Macro",1521073754700
error,log,,,"Unable to get CElement for Macro",1521073754700
error,log,,,"Unable to get CElement for Macro",1521073754701
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521073754714
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521073758039
error,log,,,"Unable to get CElement for Macro",1521073759797
error,log,,,"Unable to get CElement for Macro",1521073759798
error,log,,,"Unable to get CElement for Macro",1521073759798
error,log,,,"Unable to get CElement for Macro",1521073759799
error,log,,,"Unable to get CElement for Macro",1521073759799
error,log,,,"Unable to get CElement for Macro",1521073759799
error,log,,,"Unable to get CElement for Macro",1521073759800
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521073759818
error,log,,,"Unable to get CElement for Macro",1521073767774
error,log,,,"Unable to get CElement for Macro",1521073767775
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521073767791
error,log,,,"Unable to get CElement for Macro",1521073771222
error,log,,,"Unable to get CElement for Macro",1521073771222
error,log,,,"Unable to get CElement for Macro",1521073771223
error,log,,,"Unable to get CElement for Macro",1521073771223
error,log,,,"Unable to get CElement for Macro",1521073771224
error,log,,,"Unable to get CElement for Macro",1521073771224
error,log,,,"Unable to get CElement for Macro",1521073771225
error,log,,,"Unable to get CElement for Macro",1521073771225
error,log,,,"Unable to get CElement for Macro",1521073771226
error,log,,,"Unable to get CElement for Macro",1521073771226
error,log,,,"Unable to get CElement for Macro",1521073771226
error,log,,,"Unable to get CElement for Macro",1521073771227
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521073771242
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1521073879110
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1521073884437
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1521073886052
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1521073888874
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1521073889229
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1521073889716
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1521073892076
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1521073892383
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1521073892644
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1521073892832
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1521073893011
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1521073893204
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1521073893395
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1521073893716
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1521073893982
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1521073894251
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1521073894532
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1521073894860
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1521073895194
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1521073900139
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1521073907156
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1521073911688
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1521073926486
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1521073929707
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1521073930328
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1521073944680
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1521073947063
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1521073947205
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1521073947369
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1521073947516
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1521073950450
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1521073952582
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1521073952891
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1521073954211
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1521073975897
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1521073976213
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1521073976388
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1521073976556
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1521073976724
error,log,,,"Unable to get CElement for Macro",1521073986220
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521073986229
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521073989262
error,log,,,"Unable to get CElement for Macro",1521073990806
error,log,,,"Unable to get CElement for Macro",1521073990807
error,log,,,"Unable to get CElement for Macro",1521073990807
error,log,,,"Unable to get CElement for Macro",1521073990807
error,log,,,"Unable to get CElement for Macro",1521073990808
error,log,,,"Unable to get CElement for Macro",1521073990808
error,log,,,"Unable to get CElement for Macro",1521073990809
error,log,,,"Unable to get CElement for Macro",1521073990809
error,log,,,"Unable to get CElement for Macro",1521073990810
error,log,,,"Unable to get CElement for Macro",1521073990810
error,log,,,"Unable to get CElement for Macro",1521073990811
error,log,,,"Unable to get CElement for Macro",1521073990811
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521073990835
error,log,,,"Unable to get CElement for Macro",1521074002389
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521074002398
error,log,,,"Unable to get CElement for Macro",1521074004669
error,log,,,"Unable to get CElement for Macro",1521074004669
error,log,,,"Unable to get CElement for Macro",1521074004669
error,log,,,"Unable to get CElement for Macro",1521074004670
error,log,,,"Unable to get CElement for Macro",1521074004670
error,log,,,"Unable to get CElement for Macro",1521074004671
error,log,,,"Unable to get CElement for Macro",1521074004671
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521074004689
error,log,,,"Unable to get CElement for Macro",1521074159459
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521074159469
error,log,,,"Unable to get CElement for Macro",1521074162914
error,log,,,"Unable to get CElement for Macro",1521074162915
error,log,,,"Unable to get CElement for Macro",1521074162915
error,log,,,"Unable to get CElement for Macro",1521074162916
error,log,,,"Unable to get CElement for Macro",1521074162916
error,log,,,"Unable to get CElement for Macro",1521074162917
error,log,,,"Unable to get CElement for Macro",1521074162917
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521074162935
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1521074222038
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1521074226659
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1521074253526
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1521074272137
error,log,,,"Unable to get CElement for Macro",1521074280204
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521074280213
error,log,,,"Unable to get CElement for Macro",1521074283329
error,log,,,"Unable to get CElement for Macro",1521074283330
error,log,,,"Unable to get CElement for Macro",1521074283330
error,log,,,"Unable to get CElement for Macro",1521074283331
error,log,,,"Unable to get CElement for Macro",1521074283331
error,log,,,"Unable to get CElement for Macro",1521074283332
error,log,,,"Unable to get CElement for Macro",1521074283332
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1521074283350
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1521074339159
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1521074339429
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1521074345150
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1521074349607
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1521074351010
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1521074352229
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1521074373119
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 4-2]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1521074374040
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1521074380886
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1521074551215
